Day,Month,Year,Hour,Barometer,Temp C,High Temp C,Low Temp C,Hum %,Dew Point C,Wind Speed m/s,Wind Direction,Wind Run,High Wind Speed m/s,High Wind Direction,Wind Chill C,Heat Index C,THW Index C,Rain mm,Rain Rate mm/h,ET mm,Date
1,1,2022,0,758.9,25.4,25.6,25.3,88.0,23.3,1.8,S,1.79,5.4,S,25.4,27.6,27.6,0.0,0.0,0.03,2022-01-01 00:00:00
1,1,2022,1,758.7,25.0,25.4,25.0,89.0,23.1,1.8,S,1.79,4.9,S,25.0,27.0,27.0,0.0,0.0,0.03,2022-01-01 01:00:00
1,1,2022,2,758.2,24.5,25.1,24.5,89.0,22.6,1.3,SSW,1.34,4.5,SSE,24.5,26.2,26.2,0.0,0.0,0.03,2022-01-01 02:00:00
1,1,2022,3,757.9,23.8,24.5,23.8,92.0,22.5,0.9,SSE,0.89,4.0,SSW,23.8,25.4,25.4,0.0,0.0,0.03,2022-01-01 03:00:00
1,1,2022,4,758.0,23.8,23.9,23.7,91.0,22.2,0.9,SSE,0.89,4.5,SSE,23.8,25.3,25.3,0.0,0.0,0.0,2022-01-01 04:00:00
1,1,2022,5,758.1,23.4,23.8,23.3,90.0,21.7,0.9,SSE,0.89,2.7,E,23.4,24.6,24.6,0.0,0.0,0.03,2022-01-01 05:00:00
1,1,2022,6,758.5,23.2,23.4,23.2,91.0,21.7,0.4,ESE,0.45,1.8,ENE,23.2,24.5,24.5,0.0,0.0,0.0,2022-01-01 06:00:00
1,1,2022,7,758.8,23.0,23.2,22.9,92.0,21.6,0.4,E,0.45,1.8,S,23.0,24.3,24.3,0.0,0.0,0.0,2022-01-01 07:00:00
1,1,2022,8,759.3,23.3,23.3,22.9,91.0,21.8,0.9,S,0.89,4.5,SE,23.3,24.6,24.6,0.0,0.0,0.03,2022-01-01 08:00:00
1,1,2022,9,760.4,25.9,25.9,23.3,85.0,23.2,1.8,S,1.79,5.8,SSE,25.9,28.4,28.4,0.0,0.0,0.13,2022-01-01 09:00:00
1,1,2022,10,760.5,27.3,27.4,25.9,80.0,23.6,1.8,SSW,1.79,5.4,S,27.3,30.9,30.9,0.0,0.0,0.23,2022-01-01 10:00:00
1,1,2022,11,759.8,28.4,28.6,27.1,75.0,23.5,3.1,S,3.13,7.6,S,28.4,32.5,32.5,0.0,0.0,0.46,2022-01-01 11:00:00
1,1,2022,12,759.2,29.2,29.4,28.4,69.0,22.9,3.6,S,3.58,8.5,SSE,28.9,33.2,32.9,0.0,0.0,0.51,2022-01-01 12:00:00
1,1,2022,13,758.1,29.6,29.9,29.0,68.0,23.0,3.6,S,3.58,9.4,S,29.3,33.7,33.5,0.0,0.0,0.56,2022-01-01 13:00:00
1,1,2022,14,757.5,29.4,30.3,29.2,69.0,23.2,3.1,S,3.13,8.9,S,29.4,33.7,33.7,0.0,0.0,0.53,2022-01-01 14:00:00
1,1,2022,15,757.3,29.0,29.4,28.8,71.0,23.2,3.1,S,3.13,9.8,SSE,29.0,33.1,33.1,0.0,0.0,0.36,2022-01-01 15:00:00
1,1,2022,16,757.1,28.8,29.2,28.3,73.0,23.5,2.2,NE,2.24,7.6,E,28.8,33.0,33.0,0.0,0.0,0.25,2022-01-01 16:00:00
1,1,2022,17,756.9,27.4,28.8,27.4,75.0,22.6,2.7,S,2.68,7.6,S,27.4,30.4,30.4,0.0,0.0,0.2,2022-01-01 17:00:00
1,1,2022,18,757.3,26.4,27.4,26.3,82.0,23.1,1.3,SSW,1.34,5.8,SSE,26.4,29.1,29.1,0.0,0.0,0.05,2022-01-01 18:00:00
1,1,2022,19,757.7,25.6,26.3,25.6,87.0,23.2,1.3,NE,1.34,3.6,ENE,25.6,27.9,27.9,0.0,0.0,0.03,2022-01-01 19:00:00
1,1,2022,20,758.3,25.4,25.6,25.4,88.0,23.3,0.4,NE,0.45,2.2,NNE,25.4,27.6,27.6,0.0,0.0,0.03,2022-01-01 20:00:00
