Day,Month,Year,Hour,Barometer,Temp C,High Temp C,Low Temp C,Hum %,Dew Point C,Wind Speed m/s,Wind Direction,Wind Run,High Wind Speed m/s,High Wind Direction,Wind Chill C,Heat Index C,THW Index C,Rain mm,Rain Rate mm/h,ET mm,Date
1,1,2017,0,754.7,25.2,25.7,24.9,84.0,22.3,3.1,N,3.1,11.2,NW,25.2,27.3,27.3,0.0,0.0,,2017-01-01 00:00:00
1,1,2017,1,754.5,24.6,24.9,24.4,86.0,22.1,3.1,WNW,3.1,11.2,WNW,24.6,26.5,26.5,0.0,0.0,,2017-01-01 01:00:00
1,1,2017,2,754.2,24.5,24.6,24.4,81.0,21.0,2.7,WNW,2.7,10.7,WNW,24.5,26.2,26.2,0.0,0.0,,2017-01-01 02:00:00
1,1,2017,3,753.9,24.4,24.6,24.2,84.0,21.5,3.1,WNW,3.1,10.7,WNW,24.4,26.1,26.1,0.0,0.0,,2017-01-01 03:00:00
1,1,2017,4,753.7,24.1,24.3,24.1,86.0,21.6,3.1,WNW,3.1,12.5,WNW,24.1,25.9,25.9,0.0,0.0,,2017-01-01 04:00:00
1,1,2017,5,753.9,23.9,24.1,23.7,89.0,22.0,3.1,WNW,3.1,11.2,NW,23.9,25.7,25.7,0.0,0.0,,2017-01-01 05:00:00
1,1,2017,6,754.3,23.7,24.1,23.7,87.0,21.4,3.6,WNW,3.6,12.1,N,23.4,25.3,25.1,0.0,0.0,,2017-01-01 06:00:00
1,1,2017,7,754.7,24.1,24.2,23.9,86.0,21.6,3.6,WNW,3.6,12.5,W,23.8,25.8,25.5,0.0,0.0,,2017-01-01 07:00:00
1,1,2017,8,755.3,24.2,24.4,23.8,83.0,21.2,4.0,WNW,4.0,13.4,WSW,23.5,25.9,25.2,0.0,0.0,,2017-01-01 08:00:00
1,1,2017,9,755.6,24.8,25.3,24.3,79.0,20.9,3.1,WNW,3.1,12.5,NNW,24.8,26.4,26.4,0.0,0.0,,2017-01-01 09:00:00
1,1,2017,10,755.7,26.0,26.8,25.2,71.0,20.3,3.6,WNW,3.6,12.1,NW,25.8,27.3,27.1,0.0,0.0,,2017-01-01 10:00:00
1,1,2017,11,755.7,27.2,27.4,26.8,66.0,20.3,4.5,WNW,4.5,14.8,WNW,26.3,28.6,27.8,0.0,0.0,,2017-01-01 11:00:00
1,1,2017,12,755.2,28.1,28.8,27.3,60.0,19.6,4.0,WNW,4.0,12.1,NW,27.7,29.5,29.1,0.0,0.0,,2017-01-01 12:00:00
1,1,2017,13,754.1,28.9,29.2,28.4,57.0,19.5,3.6,W,3.6,13.0,NNW,28.7,30.6,30.4,0.0,0.0,,2017-01-01 13:00:00
1,1,2017,14,753.6,29.3,29.7,28.9,53.0,18.8,4.0,WNW,4.0,11.6,WNW,29.0,30.7,30.3,0.0,0.0,,2017-01-01 14:00:00
1,1,2017,15,753.2,29.6,29.8,29.3,55.0,19.6,4.9,WNW,4.9,12.5,W,28.9,31.3,30.6,0.0,0.0,,2017-01-01 15:00:00
1,1,2017,16,753.3,29.4,29.5,29.3,55.0,19.4,4.5,WNW,4.5,14.3,WNW,28.9,31.0,30.5,0.0,0.0,,2017-01-01 16:00:00
1,1,2017,17,753.4,29.1,29.4,28.7,59.0,20.2,3.1,WNW,3.1,10.3,WNW,29.1,31.1,31.1,0.0,0.0,,2017-01-01 17:00:00
1,1,2017,18,754.0,28.2,28.7,27.8,61.0,19.9,3.1,WNW,3.1,9.8,N,28.2,29.7,29.7,0.0,0.0,,2017-01-01 18:00:00
1,1,2017,19,754.7,26.8,27.8,26.0,76.0,22.2,2.7,N,2.7,10.7,NE,26.8,29.1,29.1,0.0,0.0,,2017-01-01 19:00:00
1,1,2017,20,755.3,25.8,26.0,25.5,80.0,22.1,2.7,N,2.7,9.8,NNW,25.8,27.8,27.8,0.0,0.0,,2017-01-01 20:00:00
1,1,2017,21,755.7,25.3,25.5,25.0,82.0,22.0,2.7,WNW,2.7,11.2,W,25.3,27.2,27.2,0.0,0.0,,2017-01-01 21:00:00
1,1,2017,22,755.9,24.8,25.0,24.7,84.0,21.9,2.2,NW,2.2,9.4,W,24.8,26.7,26.7,0.0,0.0,,2017-01-01 22:00:00
1,1,2017,23,755.4,24.7,24.7,24.6,85.0,22.0,3.1,NW,3.1,12.5,WNW,24.7,26.6,26.6,0.0,0.0,,2017-01-01 23:00:00
2,1,2017,0,755.3,24.6,24.6,24.6,86.0,22.1,3.6,WNW,3.6,12.1,SSW,24.3,26.5,26.2,0.0,0.0,,2017-01-02 00:00:00
2,1,2017,1,754.5,24.7,24.8,24.6,82.0,21.4,2.7,W,2.7,10.3,WNW,24.7,26.4,26.4,0.0,0.0,,2017-01-02 01:00:00
2,1,2017,2,754.5,24.8,24.9,24.6,81.0,21.3,2.2,WNW,2.2,11.2,WNW,24.8,26.6,26.6,0.0,0.0,,2017-01-02 02:00:00
2,1,2017,3,754.1,24.6,24.7,24.5,78.0,20.5,2.7,WNW,2.7,10.3,W,24.6,26.1,26.1,0.0,0.0,,2017-01-02 03:00:00
2,1,2017,4,754.1,24.6,24.7,24.5,77.0,20.3,1.8,WNW,1.8,7.1,NW,24.6,26.1,26.1,0.0,0.0,,2017-01-02 04:00:00
2,1,2017,5,754.5,24.5,24.6,24.4,76.0,20.0,2.7,WNW,2.7,8.9,WNW,24.5,25.9,25.9,0.0,0.0,,2017-01-02 05:00:00
2,1,2017,6,754.8,24.4,24.6,24.2,76.0,19.9,2.7,WNW,2.7,9.8,WNW,24.4,25.8,25.8,0.0,0.0,,2017-01-02 06:00:00
2,1,2017,7,755.5,24.5,24.7,24.3,76.0,20.0,2.7,WNW,2.7,9.4,NNW,24.5,25.9,25.9,0.0,0.0,,2017-01-02 07:00:00
2,1,2017,8,756.4,24.7,25.1,24.3,75.0,19.9,1.8,WNW,1.8,9.4,W,24.7,26.0,26.0,0.0,0.0,,2017-01-02 08:00:00
2,1,2017,9,756.9,25.6,25.9,25.1,72.0,20.1,2.2,WNW,2.2,11.6,WNW,25.6,26.8,26.8,0.0,0.0,,2017-01-02 09:00:00
2,1,2017,10,757.1,26.3,26.8,25.9,68.0,20.0,3.6,WNW,3.6,10.7,W,26.1,27.6,27.3,0.0,0.0,,2017-01-02 10:00:00
2,1,2017,11,756.5,27.2,27.7,26.8,64.0,19.8,3.6,W,3.6,12.5,NNE,27.0,28.5,28.3,0.0,0.0,,2017-01-02 11:00:00
2,1,2017,12,755.4,27.9,28.2,27.6,64.0,20.4,3.6,WNW,3.6,12.1,WSW,27.7,29.6,29.4,0.0,0.0,,2017-01-02 12:00:00
2,1,2017,13,754.6,28.2,28.8,27.9,60.0,19.7,3.6,W,3.6,11.6,ENE,28.0,29.6,29.4,0.0,0.0,,2017-01-02 13:00:00
2,1,2017,14,754.0,28.8,29.1,28.7,59.0,20.0,3.6,W,3.6,10.7,NW,28.7,30.7,30.6,0.0,0.0,,2017-01-02 14:00:00
2,1,2017,15,753.5,28.8,28.9,28.7,60.0,20.3,3.1,N,3.1,10.7,N,28.8,30.8,30.8,0.0,0.0,,2017-01-02 15:00:00
2,1,2017,16,753.7,28.4,28.9,28.1,64.0,21.0,3.1,N,3.1,11.6,W,28.4,30.6,30.6,0.0,0.0,,2017-01-02 16:00:00
2,1,2017,17,754.0,27.8,28.1,27.3,67.0,21.1,3.1,N,3.1,11.6,N,27.8,29.8,29.8,0.0,0.0,,2017-01-02 17:00:00
2,1,2017,18,754.5,26.7,27.3,26.0,76.0,22.1,2.7,NE,2.7,10.7,N,26.7,28.9,28.9,0.0,0.0,,2017-01-02 18:00:00
2,1,2017,19,754.7,25.6,26.0,25.4,80.0,21.9,2.7,N,2.7,10.7,WNW,25.6,27.5,27.5,0.0,0.0,,2017-01-02 19:00:00
2,1,2017,20,754.9,25.3,25.4,25.2,80.0,21.6,2.2,N,2.2,9.8,NW,25.3,27.1,27.1,0.0,0.0,,2017-01-02 20:00:00
2,1,2017,21,755.0,25.2,25.2,25.1,76.0,20.6,1.3,WNW,1.3,7.1,WNW,25.2,26.6,26.6,0.0,0.0,,2017-01-02 21:00:00
2,1,2017,22,754.8,24.9,25.2,24.8,77.0,20.6,2.2,WNW,2.2,8.5,NW,24.9,26.4,26.4,0.0,0.0,,2017-01-02 22:00:00
2,1,2017,23,754.9,24.7,24.8,24.4,81.0,21.2,3.1,W,3.1,10.3,WNW,24.7,26.4,26.4,0.0,0.0,,2017-01-02 23:00:00
3,1,2017,0,754.8,24.4,24.5,24.3,82.0,21.1,2.2,W,2.2,9.4,NNW,24.4,26.1,26.1,0.0,0.0,,2017-01-03 00:00:00
3,1,2017,1,754.5,24.4,24.5,24.3,80.0,20.8,2.2,WNW,2.2,9.4,WNW,24.4,26.1,26.1,0.0,0.0,,2017-01-03 01:00:00
3,1,2017,2,754.4,24.4,24.5,24.1,80.0,20.8,2.7,W,2.7,10.3,N,24.4,26.1,26.1,0.0,0.0,,2017-01-03 02:00:00
3,1,2017,3,754.2,24.2,24.4,23.9,82.0,21.0,3.1,N,3.1,11.2,NW,24.2,25.8,25.8,0.0,0.0,,2017-01-03 03:00:00
3,1,2017,4,754.2,24.1,24.3,23.8,84.0,21.2,3.6,N,3.6,13.4,W,23.8,25.8,25.5,0.0,0.0,,2017-01-03 04:00:00
3,1,2017,5,754.5,23.8,24.1,23.3,87.0,21.5,3.1,N,3.1,9.8,WNW,23.8,25.6,25.6,0.0,0.0,,2017-01-03 05:00:00
