Hours,Wind speed,Wind direction,,
0.5,16,345,,
1.5,16,344,,
2.5,16,342,,
3.5,16.1,343,,
4.5,16.2,343,,
5.5,16.3,343,,
6.5,16.5,342,,
7.5,16.9,342,,
8.5,17.5,342,,
9.5,18,344,,
10.5,18.3,346,,
11.5,18.4,348,,
12.5,18.6,349,,
13.5,18.7,351,,
14.5,18.8,353,,
15.5,18.7,353,,
16.5,18.3,352,,
17.5,18,351,,
18.5,17.9,350,,
19.5,17.9,351,,
20.5,17.8,352,,
21.5,17.6,353,,
22.5,17.3,353,,
23.5,17.1,353,,
24.5,16.9,351,,
25.5,16.9,350,,
26.5,16.8,350,,
27.5,16.5,350,,
28.5,16.2,351,,
29.5,15.9,353,,
30.5,16,354,,
31.5,16.3,353,,
32.5,16.8,352,,
33.5,17.2,354,,
34.5,17.2,355,,
35.5,17.1,358,,
36.5,17,358,,
37.5,16.9,356,,
38.5,16.7,354,,
39.5,16.4,354,,
40.5,16,352,,
41.5,15.8,351,,
42.5,16,349,,
43.5,16.1,347,,
44.5,16,346,,
45.5,15.8,346,,
46.5,15.5,346,,
47.5,15.1,347,,
48.5,14.8,347,,
49.5,14.7,347,,
50.5,14.6,347,,
51.5,14.4,345,,
52.5,14.3,344,,
53.5,14.1,345,,
54.5,14.2,345,,
55.5,14.6,345,,
56.5,15.1,348,,
57.5,15.2,354,,
58.5,15.1,359,,
59.5,14.8,2,,
60.5,14.4,4,,
61.5,14.1,4,,
62.5,13.9,3,,
63.5,13.9,0,,
64.5,13.6,357,,
65.5,13.3,354,,
66.5,13.2,353,,
67.5,13.3,352,,
68.5,13.2,351,,
69.5,13.1,350,,
70.5,12.9,348,,
71.5,12.6,346,,
72.5,12.4,346,,
73.5,12.2,345,,
74.5,12,345,,
75.5,11.7,345,,
76.5,11.3,344,,
77.5,11,343,,
78.5,11.2,344,,
79.5,11.6,344,,
80.5,11.7,348,,
81.5,11.3,357,,
82.5,10.8,5,,
83.5,10.5,16,,
84.5,10.2,32,,
85.5,10,55,,
86.5,10,85,,
87.5,10,113,,
88.5,9.9,134,,
89.5,9.8,153,,
90.5,9.8,163,,
91.5,9.8,167,,
92.5,9.7,170,,
93.5,9.5,176,,
94.5,9.2,187,,
95.5,9.1,215,,
